,log return
2020-01-03,-0.009769498075483734
2020-01-06,0.007936777561736148
2020-01-07,-0.004713750626958403
2020-01-08,0.01595810616667121
2020-01-09,0.02101811370180577
2020-01-10,0.0022581313162375865
2020-01-13,0.02113958387127585
2020-01-14,-0.013595446338885939
2020-01-15,-0.004294655179865984
2020-01-16,0.01244878253237838
2020-01-17,0.011010097870447159
2020-01-21,-0.006800054679859967
2020-01-22,0.003563174044334764
2020-01-23,0.004804307458323851
2020-01-24,-0.0028859189249646963
2020-01-27,-0.029846497084910287
2020-01-28,0.02789642799358806
2020-01-29,0.020716633306713438
2020-01-30,-0.0014504560277683524
2020-01-31,-0.04535149424124107
2020-02-03,-0.002750146564718358
2020-02-04,0.032480502751171744
2020-02-05,0.008121033988059228
2020-02-06,0.011629338471471396
2020-02-07,-0.013686030121991552
2020-02-10,0.004738114986868014
2020-02-11,-0.006051594410807351
2020-02-12,0.023470273206207995
2020-02-13,-0.007146501303301396
2020-02-14,0.00024664653645449123
2020-02-18,-0.01848072558801167
2020-02-19,0.014379158783334985
2020-02-20,-0.01031215618832047
2020-02-21,-0.022894899475157517
2020-02-24,-0.0486657168015896
2020-02-25,-0.03445900461959241
2020-02-26,0.01573905927370147
2020-02-27,-0.06760276624763913
2020-02-28,-0.0005852227275469534
2020-03-02,0.08901816943389897
2020-03-03,-0.032274039869371884
2020-03-04,0.045340616977034016
2020-03-05,-0.032974795407417296
2020-03-06,-0.013368956901798212
2020-03-09,-0.08239503394454321
2020-03-10,0.06954607871732668
2020-03-11,-0.035347870450322255
2020-03-12,-0.10397799913651788
2020-03-13,0.1131577027447135
2020-03-16,-0.13770809346542673
2020-03-17,0.04303070603817659
2020-03-18,-0.02478447294391718
2020-03-19,-0.0076916863185233905
2020-03-20,-0.06559024029407153
2020-03-23,-0.02147325176771333
2020-03-24,0.09560631173641376
2020-03-25,-0.005524268686832055
2020-03-26,0.05128515683806606
2020-03-27,-0.042283727997881056
2020-03-30,0.028138278531289973
2020-03-31,-0.0020426225003029757
2020-04-01,-0.05405187947448396
2020-04-02,0.01654884355975686
2020-04-03,-0.014475817953571522
2020-04-06,0.08364031689829789
2020-04-07,-0.011649873096863514
2020-04-08,0.025272643419287467
2020-04-09,0.007190096987682835
2020-04-13,0.01943719783050765
2020-04-14,0.04926947346579739
2020-04-15,-0.009169413657527865
2020-04-16,0.007914417089282933
2020-04-17,-0.013661579179907945
2020-04-20,-0.020975032440720968
2020-04-21,-0.03139830999434426
2020-04-22,0.02839671102283948
2020-04-23,-0.003882899294585359
2020-04-24,0.02846048542135123
2020-04-27,0.0007066418771587409
2020-04-28,-0.0163424813440189
2020-04-29,0.03231759894451773
2020-04-30,0.020876478107087114
2020-05-01,-0.01623029001571054
2020-05-04,0.014049997130593262
2020-05-05,0.014897164244150602
2020-05-06,0.010264376381316144
2020-05-07,0.010291703959791712
2020-05-08,0.023522654834761837
2020-05-11,0.015613135623280995
